1-minute intervals
RoadID;Direction;Minute;Avg speed (km/h);Max speed (km/h);Flow (cars/min);Density (cars/km);% Congestion
 0;1; 17; 39; 50; 2.00; 2.00; 22
 2;1;  3; 36; 50; 1.00; 4.00; 28
 2;1;  4; 40; 50; 3.00; 6.00; 19
 2;1;  6; 43; 50; 2.00; 6.00; 13
 2;1; 14; 33; 50; 1.00; 4.00; 33
 3;1; 17; 34; 50; 1.00; 2.00; 31
 4;1;  1; 45; 50; 3.00; 6.00; 10
 7;1;  1; 42; 50; 3.00; 6.00; 15
 7;1;  6; 16; 50; 0.00;22.00; 68
 7;1;  7; 16; 50; 1.00;24.00; 68
 7;1;  8; 29; 50; 3.00;26.00; 42
 7;1;  9;  7; 50; 1.00;26.00; 86
 7;1; 10;  5; 50; 1.00;28.00; 90
 7;1; 11;  2; 50; 0.00;28.00; 96
 7;1; 12;  0; 50; 0.00;28.00;100
 7;1; 13;  3; 50; 1.00;30.00; 93
 7;1; 14; 11; 50; 2.00;30.00; 77
 7;1; 15;  0; 50; 0.00;30.00;100
 7;1; 16;  0; 50; 0.00;30.00;100
 7;1; 17;  0; 50; 0.00;30.00;100
 7;1; 18;  0; 50; 0.00;30.00;100
 7;1; 19;  0; 50; 0.00;30.00;100
 7;1; 20;  0; 50; 0.00;30.00;100
 7;1; 21;  0; 50; 0.00;30.00;100
 7;1; 22;  0; 50; 0.00;30.00;100
 7;1; 23;  0; 50; 0.00;30.00;100
 7;1; 24;  0; 50; 0.00;30.00;100
 7;1; 25;  0; 50; 0.00;30.00;100
 7;1; 26;  0; 50; 0.00;30.00;100
 7;1; 27;  0; 50; 0.00;30.00;100
 7;1; 28;  0; 50; 0.00;30.00;100
 7;1; 29;  0; 50; 0.00;30.00;100
 8;1;  1; 44; 50; 1.00; 0.00; 12
12;1;  8; 33; 50; 0.00; 6.00; 33
13;1;  5; 42; 50; 3.00; 6.00; 16
18;1;  9; 24; 50; 3.00;30.00; 52
18;1; 10; 12; 50; 2.00;28.00; 76
18;1; 11;  4; 50; 0.00;30.00; 91
18;1; 12; 13; 50; 3.00;34.00; 73
18;1; 13;  0; 50; 0.00;30.00; 99
18;1; 14;  5; 50; 1.00;32.00; 90
18;1; 15;  1; 50; 0.00;34.00; 98
18;1; 16; 13; 50; 5.00;44.00; 74
18;1; 17;  6; 50; 3.00;46.00; 88
18;1; 18;  2; 50; 1.00;44.00; 95
18;1; 19;  0; 50; 0.00;42.00;100
18;1; 20;  0; 50; 0.00;42.00;100
18;1; 21;  0; 50; 0.00;42.00;100
18;1; 22;  0; 50; 0.00;42.00;100
18;1; 23;  0; 50; 0.00;42.00;100
18;1; 24;  0; 50; 0.00;42.00;100
18;1; 25;  0; 50; 0.00;42.00;100
18;1; 26;  0; 50; 0.00;42.00;100
18;1; 27;  0; 50; 0.00;42.00;100
18;1; 28;  0; 50; 0.00;42.00;100
18;1; 29;  0; 50; 0.00;42.00;100
21;1;  1; 43; 50; 1.00; 0.00; 13
22;1;  4; 43; 50; 0.00; 0.00; 13
23;1; 17; 14; 50; 1.00;22.00; 72
25;1;  1; 43; 50; 1.00; 2.00; 14
26;1; 10; 39; 50; 2.00; 2.00; 21
26;1; 11; 39; 50; 2.00; 2.00; 22
29;1;  7; 83;100; 2.00; 4.00; 16
30;1;  2; 79;100; 1.00; 2.00; 21
31;1;  2; 51;100; 1.00; 4.00; 48
31;1;  3; 75;100; 3.00; 2.00; 24
31;1; 14; 89;100; 7.00; 4.00; 11
31;1; 15; 84;100; 5.00;14.00; 16
32;1; 14; 13;100; 0.00; 4.00; 87
33;1;  5; 87;100; 1.00; 2.00; 13
34;1;  5; 47;100; 1.00; 2.00; 53
34;1;  6; 20;100; 1.00; 4.00; 80
34;1; 11; 62;100; 1.00; 4.00; 38
34;1; 12;  0;100; 0.00; 2.00; 99
38;1;  4; 85;100; 6.00; 0.00; 14
38;1;  6; 81;100; 2.00; 2.00; 19
38;1;  8; 88;100; 8.00; 6.00; 11
38;1;  9; 82;100; 0.00; 0.00; 17
38;1; 10; 89;100; 2.00; 0.00; 10
38;1; 17; 68;100; 1.00; 2.00; 31
39;1;  1; 87;100; 1.00; 2.00; 13
39;1;  2; 85;100; 0.00; 0.00; 14
39;1;  3; 81;100; 1.00; 0.00; 18
39;1;  4; 87;100; 1.00; 0.00; 13
39;1;  8; 80;100; 3.00; 0.00; 19
39;1; 10; 86;100; 2.00; 0.00; 14
 3;0;  7; 34; 50; 1.00; 0.00; 31
 7;0;  1; 25; 50; 2.00; 8.00; 49
11;0;  9;  1; 50; 0.00; 4.00; 97
20;0;  4; 40; 50; 2.00; 4.00; 20
26;0;  9; 25; 50; 2.00; 6.00; 50
29;0;  5; 84;100; 3.00; 2.00; 15
36;0;  3; 50;100; 1.00; 2.00; 50
39;0; 15; 51;100; 2.00; 6.00; 48


15-minute intervals
RoadID;Direction;Minute;Avg speed (km/h);Max speed (km/h);Flow (cars/min);Density (cars/km);% Congestion;Minutes with activity
 0;1; 15; 44; 50; 0.53; 0.00; 11;  3
 3;1; 15; 44; 50; 0.73; 0.00; 12;  3
 7;1;  0; 25; 50; 1.93;18.00; 50; 13
18;1;  0; 31; 50; 1.80;18.00; 38; 13
18;1; 15;  5; 50; 0.60;10.00; 89;  4
23;1; 15; 36; 50; 0.60; 4.00; 27;  3
32;1;  0; 86;100; 1.20; 2.00; 13;  8
34;1;  0; 73;100; 0.60; 0.00; 27; 10
38;1; 15; 90;100; 0.27; 0.00; 10;  3
39;1;  0; 88;100; 0.87; 0.00; 11; 10
 7;0;  0; 42; 50; 0.33; 0.00; 16;  3
39;0; 15; 84;100; 0.53; 0.00; 16;  3


60-minute intervals
RoadID;Direction;Minute;Avg speed (km/h);Max speed (km/h);Flow (cars/min);Density (cars/km);% Congestion;Minutes with activity
 7;1;  0; 25; 50; 0.97; 8.00; 50; 13
18;1;  0; 25; 50; 1.20;14.00; 50; 17
32;1;  0; 89;100; 0.77; 0.00; 11; 11
34;1;  0; 75;100; 0.33; 0.00; 24; 11
39;1;  0; 90;100; 0.43; 0.00; 10; 11
 7;0;  0; 42; 50; 0.17; 0.00; 16;  3
